Palavra,Sinônimos
CONCLUSÃO,"consequência , indução , dedução , ilação , inferência"
CONCUPISCÊNCIA,"luxúria , lascívia , lubricidade , libidinagem , volúpia , sensualidade, moleza , voluptuosidade"
CONFERÊNCIA,entrevista
CONFIANÇA,"segurança , seguridade"
CONFIGURAÇÃO,"conformação , figura , forma"
CONFISCAR,"apreender , arrestar , embargar, sequestrar , penhorar , apenar"
CONFORME,segundo
CONFORTAR,consolar
CONFRARIA,"ordem , irmandade , congregação"
CONFUTAR,"refutar , impugnar , rebater"
CONJUGAL,"nupcial , matrimonial"
CONSAGRAR,"dedicar , oferecer , votar"
CONJURAÇÃO,"conspiração , intriga , cabala, enredo , trama , conluio , mexerico"
CONSTRUIR,"edificar , fabricar , fazer"
CONSTANTE,"firme , forte, inabalável , inflexível , tenaz , persistente , obstinado , teimoso , inalterável , fiel, perseverante , leal, constância , firmeza , fortaleza , fidelidade , perseverança , lealdade , persistência , tenacidade , obstinação , teimosia"
CONTRIBUIÇÃO,"imposto , tributo , derrama , páreas , subsídios , direitos , taxa, finta"
CONVENIENTE,"decente , decoroso , honesto , discreto"
CONVERSAÇÃO,"conversa , conferência , colóquio , palestra , prosa , cavaco , cavaquei-ra, diálogo , confabulação"
CONVICÇÃO,persuasão
CONVINCENTE,"evidente , certo , indubitável , incontestável , persuasivo , persu-asório , suasório"
CONVIR,"importar , relevar , cumprir"
COONESTAR,justificar
COOPERAR,colaborar
COPIAR,"trasladar , transcrever , colar , decalcar , plagiar"
COPIOSO,"abundante , muito , numeroso"
COROA,diadema
CORRETO,"exato , perfeito , castiço , vernáculo , puro , clássico , lídimo , correção , exatidão , perfeição , casticidade , vernaculidade, pureza , classicismo , lidimidade"
CORTE,"fio, gume"
COSMOGONIA,"cosmografia , cosmologia"
COSTUME,"hábito , uso, rotina"
CRASSO,"grosseiro , palmar"
CRIAR,"produzir , gerar"
CREBRO,"frequente , repetido , reiterado"
CRENÇA,"fé, opinião"
CRER,"pensar , julgar , presumir , supor , cuidar"
CRESTOMATIA,"seleta , antologia , florilégio, coleção , coletânea , polianteia , silva, miscelânea , catalecto , analecto"
CULTIVO,cultura
CUMPRIR,"observar , guardar"
DAMA,"mulher , dona, matrona , senhora"
DANOSO,"prejudicial , nocivo , pernicioso , lesivo , perigoso , maléfico , ruinoso"
DAR,"doar , oferecer , apresentar , entregar"
DEBUXO,"esboço , bosquejo , risco , delineação , delineamento , figura, plano , planta , traçado , projeto , desenho, modelo , molde , ideia, escorço"
DECAIR,descair
DECAPITAR,"degolar , guilhotinar , descabeçar"
DECORO,"dignidade , honra , decência , reserva , recato , gravidade , pudor , vergonha , compostura"
DECEPÇÃO,"surpresa , engano , logro , ilusão, codilho"
DECLARAR,"descobrir , manifestar , revelar, divulgar , publicar , promulgar , anunciar, noticiar , desvendar , expor , patentear , explicar , enunciar , expressar , referir , relatar, narrar , contar , mostrar , proclamar , espalhar , assoalhar , apregoar , propagar , propalar"
DECOMPOR,"analisar , anatomizar , examinar, dissecar , destrinçar , esmiuçar , escalpelar"
DECRETO,"lei, aviso , resolução"
DEFEITO,"deformidade , imperfeição , vício, falha , balda , pecha , sestro , manha , mania , tacha , falta , eiva, senão , fraco"
DEFENDER,"proibir , vedar , impedir , inibir, obstar , interdizer , interditar , estorvar , embaraçar , dificultar , tolher , impossibilitar"
DELIBERAR,"decidir , resolver , opinar , votar"
DELICADO,"fino, tênue , subtil , leve, delicadeza , finura , fineza , subtileza"
DELINQUENTE,"criminoso , réu, acusado , indiciado , culpado , infractor , transgressor , violador , pecador , crime , delito , infração , transgressão , violação , culpa"
DEPOIS,logo
DEPOR,"destituir , demitir , dispensar , exonerar , despedir"
DERRAMAR,entornar
DERRETER,"fundir , liquefazer , dissolver , diluir , desfazer , derretimento , fundição , liquefação , dissolução , diluição"
DERROTAR,"desbaratar , destroçar , desfazer, bater , destruir , exterminar , aniquilar"
DESABRIDO,"violento , hostil , agressivo , ríspido , áspero , rude , duro , brutal , ferino"
DESACONSELHAR,"dissuadir , despersuadir, desiludir , desenganar , desconvencer"
DESAFIO,"duelo , repto , provocação"
DESANDAR,"voltar , retroceder , recuar , retrogradar , tornar , retornar , regressar , volver"
DESAPEGAR,despegar
DESAPERCEBIDO,despercebido
DESARRANJAR,"desordenar , transtornar , desorganizar , desmanchar , desfazer , baralhar, confundir , desconcertar , desconchavar, barafundar"
DESARRUGAR,desenrugar
DESCANSO,"repouso , quietação , tranquilidade , sossego , paz, serenidade, calma , placidez , bonança"
DESCONHECIDO,incógnito
DESCORADO,"pálido , lívido , macilento , lúrido"
DESCORTÊS,"incivil , grosseiro , desatencioso , tosco , impolido , impolítico , indelicado , inurbano , rústico"
DESCULPA,"escusa , recusa , perdão"
DESERTO,"ermo , solidão , retiro , isolamento , recanto , descampado"
DESERTOR,trânsfuga
DESERDAR,exerdar
DESIGNAR,"indicar , sinalar , marcar"
DESIMPEDIR,"desembaraçar , desobstruir , desempecer , desempeçar , desempachar , despejar , abrir , desatravancar , desencalhar , desentulhar , desentupir , desocupar"
DESPOJAR,"espoliar , esbulhar , desapossar, extorquir , privar"
DESQUITE,"divórcio , repúdio"
DESSEPULTO,insepulto
DETER,"sobrestar , sustar , parar , cessar , interromper"
DETRITOS,"resíduo , fezes , sedimento , lia, borra , escória , escorralho , restos , fécula , vasa, sarro"
DEVER,obrigação
DIABÓLICO,"satânico , infernal , demoníaco"
DIALECTO,"língua , idioma , jargão , geringonça , provincianismo , gíria , calão , patoá"
DICÇÃO,"elocução , estilo , vocábulo , palavra, voz, termo , expressão , frase"
DIFERENÇA,"distinção , dissemelhança , disparidade , desproporção , desigualdade , diversidade , variedade , distância"
DIFICULDADE,"obstáculo , embaraço , empecilho , estorvo , impedimento"
DIFUSO,"prolixo , comprido , longo , extenso"
DIGRESSÃO,"divagação , distração , diversão"
DILACERAR,"lacerar , despedaçar , espedaçar , retalhar , golpear , cortar , rasgar , romper , estilhaçar , atassalhar"
DILAPIDAR,"dissipar , esbanjar , prodigalizar, gastar , consumir , desperdiçar , malbaratar , desbaratar , estragar"
DIMANAR,"emanar , manar , fluir, efluir , defluir , correr , escorrer , estilar , gotejar , pingar , exsudar , ressudar , transudar , ressumar , escoar-se , golfar , jorrar"
DIREITO,justiça
DIRIGIR,"guiar , conduzir , levar"
DISCERNIMENTO,"juízo , critério , tino , consciência , inteligência , sentido , senso , perspicácia , sagacidade"
DISERTO,"elegante , eloquente , facundo , claro, expressivo , brilhante"
DISPENDIOSO,"custoso , caro"
DISPENSA,"licença , escusa , isenção , imunidade , liberdade , direito , regalia, prerrogativa , privilégio , franquia"
DISSEMINAR,"semear , espalhar , difundir, derramar , distribuir"
DITAME,"conselho , parecer , opinião , voto"
DIVIDIR,repartir
DIVISA,"emblema , símbolo , empresa , tenção , insígnia , distintivo , lema , signo , sinal, brasão"
DÓCIL,"obediente , manso , pacífico , brando, submisso , flexível , doce, tratável , macio, meigo , suave , docilidade , obediência , mansidão , brandura , submissão , flexibilidade , doçura , macieza , meiguice , suavidade"
DOMICÍLIO,"morada , residência, estada , detença , permanência, assistência , demora , parada"
DONO,"proprietário , senhor , detentor , possuidor , retentor , domínio , propriedade , senhorio , detenção , posse , possessão , retenção"
DONZELA,"moça , rapariga , menina"
DOUTO,"erudito , sábio , instruído , ilustrado , versado , sabedor , sapiente , esclarecido , culto , perito"
DURAÇÃO,"tempo , eternidade"
EBULIÇÃO,"fervura , efervescência , fervor , fermentação"
EÇA,"cenotáfio , catafalco"
EDITOR,"impressor , edição , impressão , publicação"
EDUCAÇÃO,"criação , instrução , ilustração, civilização"
EFETUAR,"realizar , fazer, executar"
EFÍGIE,"retrato , cópia , fotografia , imagem , figura"
ELEGER,"escolher , preferir , eleição , escolha, preferência"
EMBAIXADOR,"ministro , enviado , encarregado de negócios , legado , núncio , internúncio"
EMBRIÃO,"feto , gérmen , semente"
EMBUSTE,"mentira , peta , patranha , ardil, estratagema , astúcia , artifício , manha , subterfúgio , logro , enredo , laço, lábia , ronha, solércia"
ENCARECER,exagerar
ENSEJO,"ocasião , oportunidade , conjunção, azo"
ENTERRO,"enterramento , saimento , funeral , exéquias"
ENTRETER,"divertir , espairecer , distrair , recrear , deleitar"
ENVIAR,"remeter , mandar , despachar , expedir"
EPÍLOGO,"peroração , desenlace , desfecho , fecho , remate , final"
EQUIDADE,"retidão , justiça"
ERIGIR,"fundar , instituir , estabelecer , levantar , erguer , construir , constituir , organizar , formar"
ESCAPAR,"fugir , evadir , esquivar , evitar"
ESCORREGAR,"resvalar , deslizar"
ESCURO,"obscuro , sombrio , tenebroso , caliginoso"
ESCUTAR,"ouvir , atender"
ESFAIMADO,"esfomeado , faminto , femélico, famulento"
ESFALFADO,"extenuado , cansado , fatigado , exausto"
ESMERO,"capricho , apuro , primor , requinte , cuidado , asseio , limpeza , correção, alinho , gosto"
ESPANTOSO,"terrível , terrífico , terrificante , horrível , horrendo , horroroso , horrente , hórrido , horrífero , horrífico , horripilante , medonho , pavoroso , temeroso"
ESPECIAL,"particular , singular , privativo , exclusivo"
ESPERANÇA,"confiança , fé"
ESPIA,"espião , vigia, sentinela , atalaia"
ESPIAR,"espionar , espreitar"
ESPONTÂNEO,"voluntário , livre"
ESTADO,"nação , povo"
ETERNO,"perpétuo , contínuo , imortal , sempiterno , eternal , eviterno , perene , perenal"
EUMÊNIDES,Fúrias
EXECRAÇÃO,"maldição , imprecação , praga, execrar , maldizer , amaldiçoar , imprecar, praguejar"
EXPERIÊNCIA,observação
FACHADA,"frontaria , frente , frontispício"
FACULDADE,"poder , potência"
FALECIMENTO,"morte , traspasse , trânsito, passamento"
FANAL,farol
FASTIDIOSO,"enfadonho , tedioso , importuno"
FECUNDO,"fértil , úbere , ubertoso , abundante , farto , fecundidade , fertilidade , uberdade , abundância , fartura"
FELICITAÇÕES,"parabéns , congratulações, saudações , cumprimentos , emboras"
FELIZ,"ditoso , afortunado , venturoso , bem-aventurado"
FERRAMENTA,"instrumento , utensílios"
FINADO,"defunto , morto"
FLUIDO,líquido
FRANCO,"sincero , leal"
FRAUDULENTO,"doloso , fraude , dolo"
FÚTIL,frívolo
FUGA,fugida
FUNDAMENTAL,"básico , principal , capital"
FÚNEBRE,"funéreo , funeral , funerário , mortuário , exequial , feral , lúgubre , lutuoso"
FÚRIA,"furor , cólera , raiva , ira , insânia , sanha"
FURTO,"roubo , rapina , latrocínio , ladroeira, ladroíce , rapto , furtar , roubar , rapinar , raptar , peculato , estelionato , plágio"
FUTURO,"vindoiro , porvindoiro , póstero , porvir"
GALARDÃO,"prêmio , recompensa , gratificação"
GANÂNCIA,"ganho , lucro , interesse"
GENERALIZAÇÃO,abstração
GERAL,universal
GLÓRIA,"honra , celebridade , fama, renome, nomeada , reputação , crédito , conceito, lustre , distinção"
GOZO,"gosto , sabor , paladar , ressaibo , ranço"
GRADAÇÃO,graduação
GRANDÍSSIMO,muito grande
GRANJA,"quinta , chácara , casa de campo , sítio, fazenda"
GRATIDÃO,reconhecimento
GUANTE,"manopla , luva"
GUARDA,"escolta , piquete , patrulha , ronda"
HERÓI,"super-homem , representativo , grande homem , homem ilustre , grande , graúdo"
HISTÓRIA,"fastos , anais , legenda , lenda, epopeia , relação , narrativa , narração , crônica , notícia , exposição , histórico , descrição , conta , informação , apontamentos , memória , comentário , monografia , epanáforas, biografia , vida, anedota , conto , historieta , fábula , romance , novela , apólogo , alegoria , prosopopeia , parábola"
HISTORIADOR,historiógrafo
HUMILDADE,humilhação
IDEAL,imaginário
IGNOMÍNIA,"infâmia , opróbrio , desonra , vergonha"
IGUARIA,"acepipe , manjar , pitéu, guloseima , gulosina , gulodice , gulosice , guisado , petisco"
IMOLAR,"sacrificar , imolação , sacrifício , holocausto"
IMPARCIAL,"neutro , neutral , indiferente , reto, justo, justiceiro , justiçoso"
INAPTIDÃO,"incapacidade , insuficiência"
INCÓLUME,ileso
INCONSTANTE,volúvel
INDIFERENÇA,"insensibilidade , indolência, apatia , impassibilidade , inexcitabilidade"
INDIVÍDUO,pessoa
INDIZÍVEL,"inexprimível , inefável"
INFÂNCIA,"puerícia , meninice , infantilidades , puerilidades , meninices , infante , menino , criança , pequeno , infantil , pueril"
INFORMAÇÃO,"inquérito , perquisição , pesquisação , devassa , inquirição , indagação , investigação , sindicância"
INSERIR,"encaixar , intercalar , interpor , introduzir , interpolar"
INSÍPIDO,"insosso , insulso"
INSÓLITO,"desusado , desacostumado , estranho"
INSTANTE,momento
INTERIOR,"interno , íntimo , intrínseco , próprio , inerente , essencial , inseparável"
JAMAIS,nunca
JURA,"juramento , protesto , promessa , afirmação"
JUSTA,"torneio , certame"
LARGUEZA,largura
LEGAL,"legítimo , lícito , permitido"
LIMAR,"polir, brunir"
LINGUISTA,"filólogo , gramático"
LONGÍNQUO,"remoto , distante"
MAQUINAR,"urdir , tecer, tramar , forjar , forjicar , traçar"
MANANCIAL,"fonte , nascente , manadeiro , nascença , origem"
MAR,oceano
MAS,porém
MASMORRA,"calabouço , enxovia , cadeia , prisão , cárcere , ergástulo , aljube"
MATERNAL,"materno , paternal , paterno , fraternal , fraterno"
MATINAL,matutino
MEDICAMENTO,remédio
MEMÓRIA,"lembrança , recordação , reminiscência , retentiva"
MENDIGO,"mendicidade , mendicância , indigente , indigência , pobre , pobreza"
MERCADORIA,mercancia
MESSE,"seara , ceifa, colheita"
MILAGRE,"prodígio , maravilha"
MÍSTICO,"espiritual , misticismo , misticidade , espiritualismo , espiritualidade"
MODA,"uso, voga"
MODISMO,idiotismo
MONACAL,monástico
MONÓLOGO,solilóquio
MONTANHA,"monte , serra , serrania , cordilheira , colina , cerro , outeiro , morro , lomba , lombada"
MONTANHOSO,"montuoso , montanheiro, montanhês , montanhesco , montano , montaraz , montês , montesinho ou montesino, montígeno , montívago"
MUNDO,"universo , orbe"
MÚTUO,recíproco
NÓS,nós outros
NOTÓRIO,"público , manifesto"
NOVO,recente
OBLAÇÃO,"oferenda , oblata , oferta"
OCO,"vazio , côncavo , vão, vácuo"
OMITIR,"suprimir , cortar , elidir , eliminar, cancelar"
ONDA,"vaga, vagalhão , escarcéu , marouço"
ONZENA,usura
OUTREM,outro
PAGA,"pagamento , salário , ordenado , mensalidade , soldo , soldada , vencimentos , honorários , estipêndio , remuneração , retribuição"
PARALOGISMO,sofisma
PARELHA,"junta , par, casal"
PENA,saudade
PERCEPÇÃO,"sensação , sentimento"
PERPENDICULAR,vertical
POETA,vate
POESIA,poética
PONTÍFICE,"prelado , bispo , sacerdote"
PORQUE,"pois que , pois, que"
POSSUIR,ter
POSTERIOR,"ulterior , seguinte , subsequente , subsecutivo"
POSTULADO,axioma
PREÂMBULO,"prefácio , proêmio, prólogo , introdução , prelúdio , introito , preliminar , prolegômenos , exórdio"
PRECISAMENTE,"justamente , positivamente , expressamente , formalmente"
PRECOCE,"prematuro , temporão , antecipado"
PRIMEIRO,"primário , primitivo , primevo , primordial"
PROFANAÇÃO,sacrilégio
PROGÊNIE,"progenitura , ascendência , linhagem , estirpe , raça, casta, família , sangue, casa, geração , genealogia , prosápia , prole , origem , posteridade"
PRÓPRIO,mesmo
PULO,"salto, pinote , cabriola , pirueta , cambalhota , pincho"
QUANTIA,"soma , quantidade , número"
QUIMERA,"ilusão , fantasia , utopia , visão"
RADIANTE,"radioso , irradiante , irradiador, faiscante , cintilante , chispante , coruscante , relampejante , flamante , reluzente , flamejante , fulgente , refulgente , fulgurante, brilhante , resplandecente , resplendente, fagulhante"
RASTO,"vestígio , pegada , pisada , trilha , pista, rastilho , sinal, carreiro"
REAL,"régio , reiuno , realengo , reguengo"
REALCE,"relevo , destaque , evidência , saliência , proeminência , ressalto"
REALIDADE,verdade
RECIBO,quitação
REGER,"gerir, regente , regedor , gerente , gestor , regência , regedoria , gerência , gestão"
RESIGNAÇÃO,"passividade , paciência , abdicação , renunciamento"
RETINIR,"retumbar , ressoar , repercutir , ecoar , soar, ribombar , retroar"
REDARGUIR,"replicar , retorquir , retrucar , rebater , responder , objetar , obtemperar , recriminar , contrapor , opor, contestar , revidar , reenvidar , contradizer , contraditar, respingar"
REVELAÇÃO,inspiração
ROTEIRO,"itinerário , diário , portulânio"
SABEDORIA,ciência
SACRO,"sagrado , santo"
SADIO,"são, salutar , salubre , higiênico"
SANGRENTO,"sanguinolento , sanguento , sanguinoso , sanguino , sanguíneo , cruento , sanguinário , sanguissedento"
SECULAR,"leigo, laical"
SEGE,"carruagem , trem, coche , veículo , viatura , tílburi , cabriolé , carro , plaustro , faeton , caleça , caleche , cupê"
SEGREGAÇÃO,"segregar , secretar , secreção"
SEGUIDAMENTE,"ato contínuo , imediatamente , de seguida , em seguida , logo após"
SIGILO,"segredo , reserva"
SIMPLEZA,simplicidade
SISTEMA,teoria
SOCIAL,sociável
SOPORÍFERO,"soporífico , soporativo , soporoso"
SÚBDITO,"vassalo , cidadão"
SUL,meio-dia
SUMO,"suco, caldo"
SUPLENTE,substituto
SURTO,"rapto , transporte , arroubo , voo, voadura , remígio , assomo , arrebatamento"
SUSPEITA,"desconfiança , cisma , receio"
TASCA,"taberna , venda , quiosque, baiuca , bodega , espelunca , locanda"
TEMER,"recear , suspeitar , desconfiar"
TEMPLO,"igreja , basílica , ermida , capela , delubro , fano, edícula , santuário"
TERRA,"terreno , solo, campo"
TEZ,"cútis, pele, derme , epiderme"
TÍBIO,"tépido , morno"
TIMBRE,"sinete , selo, carimbo , marca"
TOGA,"garnacha , beca, paludamento , trábea"
TOMO,volume
TORPE,"impudico , desonesto , obsceno , indecente , impuro , imoral , indecoroso , impudente , desvergonhado , descarado , desfaçado"
TRADUÇÃO,versão
TRAGO,"sorvo , gole, hausto"
TRAJO,"vestimenta , vestidura , vestido , veste, roupa , fato, indumento"
TRISTEZA,tristura
TRIUNFAL,triunfante
TRUNCAR,mutilar
TÚNICA,"tunicela , casula , dalmática"
TURNO,vez
ÚLCERA,"chaga , ferida"
UM,"único , só, singular"
UNIÃO,junção
URGÊNCIA,pressa
ÚTIL,"proveitoso , conveniente, vantajoso , profícuo , utilidade , proveito , conveniência , vantagem , proficuidade"
VÃO,"baldado , inútil , improfícuo"
VERACIDADE,"veridicidade , verdade , veraz, verídico , verdadeiro"
VIAL,avenida
VIGA,"trave, barrote"
VIRIL,"varonil , homem , varão"
VITAL,"viável , vivaz"
VITORIOSO,vencedor
VOLIÇÃO,"veleidade , vontade"
ZABUMBA,bombo
ZAGAL,"pastor , pegureiro , alganame , maioral , zagaleto , zagalejo"
ZAROLHO,"vesgo , estrábico , zanaga , peto"
ZUMBAIA,"mesura , cortesia , rapapé , salamaleque"
ZUMBIDO,"zunido , zum-zum"
